name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,conditions,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/01/00,7.1,1,3.3,3.9,-4,-0.4,Rain, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/02/00,9.2,0.4,4.6,5.7,-1.5,1.4,Rain, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/03/00,11,-0.5,2.4,11,-6.9,-2.9,Rain, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/04/00,9.1,-2.9,2.7,4.1,-9.6,-3,Rain, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/05/00,-2,-7,-4.4,-5.2,-12.9,-9.6,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/06/00,3,-2,1.4,-1.9,-6.7,-4.3,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/07/00,3,-3,0.1,-0.9,-10,-6,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/08/00,4.1,-3,1.1,-1.3,-10.1,-5.2,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/09/00,4.2,2,3.4,3,-1.3,0.7,Rain, Overcast,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/10/00,6.1,2.7,4.6,2.2,-1.9,0.2,Rain, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/11/00,6.1,2,3.9,1.6,-4.4,-1.7,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/12/00,2,-2,-0.2,-3.2,-7,-5.6,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/13/00,-3.5,-13,-8.4,-8.6,-21.7,-16.4,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/14/00,-8,-14,-10.9,-13.2,-21.2,-16.9,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/15/00,2,-7,-2.4,-3.4,-11.3,-7.1,Snow, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/16/00,3,-16,-3.3,-2.8,-26.9,-11.2,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/17/00,-13,-20.9,-16.6,-19.3,-32.8,-25.6,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/18/00,-7.9,-14.5,-11.1,-8.9,-21.6,-16.8,Snow, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/19/00,-1,-11.9,-5.9,-1.9,-16.7,-9.6,Snow, Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/20/00,-4,-15.9,-7.6,-6.3,-26.2,-14.3,Partially cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,1/21/00,-14,-20.2,-17,-21,-30,-25.3,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,
